CUSTOMERNUMBER,CUSTOMERNAME,CONTACTLASTNAME,CONTACTFIRSTNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,SALESREPEMPLOYEENUMBER,CREDITLIMIT,CREATE_TIMESTAMP,UPDATE_TIMESTAMP
125,Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,(26) 642-7555,ul. Filtro,owa 68,Warszawa,,01-012,Poland,,0,2004-02-09 03:30:06,2005-06-14 04:51:38
187,"AV Stores, Co.",Ashworth,Rachel,(171) 555-1555,Fauntleroy,y Circus,Manchester,,EC2 5NT,UK,1501,150480,2002-09-29 08:48:30,2005-06-14 10:57:08
249,Amica Models & Co.,Accorti,Paolo ,011-4988555,Via Monte , Bianco 34,Torino,,10100,Italy,1401,124300,2003-09-03 15:59:20,2005-06-14 09:54:16
311,"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 3,38,Oulu,,90110,Finland,1501,99550,2002-11-15 19:44:43,2005-06-14 09:28:37
415,"Bavarian Collectables Imports, Co.",Donnermeyer,Michael, +49 89 61 08 9555,Hansastr. , 15,Munich,,80686,Germany,1504,92500,2004-06-29 15:54:37,2005-06-14 07:29:35
497, CustomerName-497, LName-497, FName-497,+64 9 312 5555,162-164 Gr,rafton Road,Auckland  ,,,New Zealand,1612,102850,2005-06-10 06:54:56,2005-06-14 08:31:05
519, CustomerName-519, LName-519, FName-519,+65 221 7555,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,Singapore,,079903,Singapore,1621,109300,2005-06-14 03:17:46,2005-06-14 03:17:46
520, CustomerName-520, LName-520, FName-520,(1) 356-5555,Estrada da,a saúde n. 58,Lisboa,,1756,Portugal,,5500,2005-06-14 03:47:41,2005-06-14 03:47:41
521, CustomerName-521, LName-521, FName-521,+852 2251 1555,Bank of China Tower,1 Garden Road,Central Hong Kong,,,Hong Kong,1621,64100,2005-06-14 07:53:00,2005-06-14 07:53:00
522, CustomerName-522, LName-522, FName-522,6175558555,7825 Dougl,las Av.,Brickhaven,MA,58339,USA,1188,83270,2005-06-14 01:18:04,2005-06-14 01:18:04
523, CustomerName-523, LName-523, FName-523,(95) 555 82 82,"C/ Romero,",", 33",Sevilla,,41101,Spain,1702,77770,2005-06-14 07:38:05,2005-06-14 07:38:05
524, CustomerName-524, LName-524, FName-524,2125557818,897 Long A,Airport Avenue,NYC,NY,10022,USA,1323,137940,2005-06-14 02:28:44,2005-06-14 02:28:44
